Dateline Standard Time,Etc/GMT+12
Hawaiian Standard Time,Etc/GMT+10
Pacific Standard Time,PST8PDT
US Mountain Standard Time,Etc/GMT+7
Mountain Standard Time,MST7MDT
Central America Standard Time,Etc/GMT+6
Central Standard Time,CST6CDT
SA Pacific Standard Time,Etc/GMT+5
Eastern Standard Time,EST5EDT
SA Western Standard Time,Etc/GMT+4
SA Eastern Standard Time,Etc/GMT+3
Cape Verde Standard Time,Etc/GMT+1
W. Central Africa Standard Time,Etc/GMT-1
South Africa Standard Time,Etc/GMT-2
E. Africa Standard Time,Etc/GMT-3
Arabian Standard Time,Etc/GMT-4
West Asia Standard Time,Etc/GMT-5
Central Asia Standard Time,Etc/GMT-6
SE Asia Standard Time,Etc/GMT-7
Singapore Standard Time,Etc/GMT-8
Tokyo Standard Time,Etc/GMT-9
West Pacific Standard Time,Etc/GMT-10
Central Pacific Standard Time,Etc/GMT-11
Line Islands Standard Time,Etc/GMT-14
